,stn_name,stn_id,stn_lon,stn_lat,stn_ele,stn_obs_hgt,stn_mnet_id,stn_tmzn,stn_datetime_start,stn_datetime_end,stn_notes
303,TNF02 PORTABLE,TS052,-120.211611,39.399528,6074,6.1,2,America/Los_Angeles,10/17/2003 0:00,10/20/2017 19:34, 
304,WESTSIDE,WEDC1,-124.053897,41.223064,1287,6.1,2,America/Los_Angeles,4/5/2005 0:00,10/20/2017 19:43, 
274,CASHMAN,CHAC1,-120.915,40.001944,4478,6.1,2,America/Los_Angeles,9/17/2001 0:00,10/20/2017 19:47, 
273,MILO,MOLC1,-118.869025,36.231178,1923,6.1,2,America/Los_Angeles,8/7/2001 0:00,10/20/2017 19:27, 
275,Duncan,DUCC1,-120.508889,39.143889,7100,6.1,2,America/Los_Angeles,11/12/2001 0:00,10/20/2017 19:18, 
300,BIG ROCK,NBRC1,-122.57,38.039444,1500,6.1,2,America/Los_Angeles,9/30/2003 0:00,10/20/2017 19:33, 
282,JERSEYDALE,JSDC1,-119.839697,37.543733,3762,6.1,2,America/Los_Angeles,6/14/2002 0:00,10/20/2017 19:47, 
298,STF02 PORTABLE,POUC1,-120.099533,38.241967,6000,6.1,2,America/Los_Angeles,9/19/2003 0:00,10/20/2017 19:36, 
297,STEELY FORK,GZFC1,-120.527853,38.626092,4010,6.1,2,America/Los_Angeles,5/2/2003 0:00,10/20/2017 19:17, 
296,JARBO GAP,JBGC1,-121.488983,39.735908,2535,6.1,2,America/Los_Angeles,4/21/2003 0:00,10/20/2017 19:13, 
283,BRIDGEPORT,BPOC1,-119.289167,38.271944,6650,6.1,2,America/Los_Angeles,6/24/2002 0:00,10/20/2017 19:49, 
284,TIMBER MOUNTAIN,TBRC1,-121.298381,41.627856,5053,6.1,2,America/Los_Angeles,8/11/2002 0:00,10/20/2017 19:03, 
285,UNDERWOOD,UDWC1,-123.4965,40.721697,2560,6.1,2,America/Los_Angeles,8/22/2002 0:00,10/20/2017 19:24, 
295,RUTH,RLKC1,-123.319733,40.250319,2732,6.1,2,America/Los_Angeles,6/24/2003 0:00,10/20/2017 19:23, 
286,NOTCHKO,NTCC1,-123.8575,41.289722,477,6.1,2,America/Los_Angeles,10/17/2002 0:00,10/20/2017 19:45, 
294,WOODACRE,WDAC1,-122.644722,37.990556,1400,6.1,2,America/Los_Angeles,5/24/2003 0:00,10/20/2017 18:51, 
293,COYOTE,CYVC1,-120.477592,39.988061,5570,6.1,2,America/Los_Angeles,1/17/2003 0:00,10/20/2017 18:59, 
287,GALENA,GALN2,-119.831944,39.379444,5610,6.1,2,America/Los_Angeles,9/5/2002 0:00,10/20/2017 18:50, 
288,GORDON,GORC1,-120.892125,40.756153,6215,6.1,2,America/Los_Angeles,9/7/2002 0:00,10/20/2017 19:04, 
289,LITTLE VALLEY (WRCC),LVYN2,-119.880833,39.244444,6310,6.1,2,America/Los_Angeles,11/14/2002 0:00,10/20/2017 19:38, 
292,Cottage,STUC1,-120.229519,38.345872,6064,6.1,2,America/Los_Angeles,1/16/2003 0:00,10/20/2017 18:54, 
281,LOWER KLAMATH - FTS,LKNC1,-121.700278,41.999167,4098,6.1,2,America/Los_Angeles,6/20/2002 0:00,10/20/2017 19:32, 
291,HOLLISTER,HSEC1,-121.362158,36.842203,404,6.1,2,America/Los_Angeles,12/12/2002 0:00,10/20/2017 19:13, 
249,WALKER PASS EAST,TR174,-118.025472,35.662611,5217,6.1,2,America/Los_Angeles,7/1/2001 0:00,10/20/2017 19:25, 
271,BIG HILL,BIIC1,-123.635889,41.097472,3570,6.1,2,America/Los_Angeles,8/7/2001 0:00,10/20/2017 19:40, 
248,KNF91 PORTABLE,TR173,-123.181667,41.798611,4000,6.1,2,America/Los_Angeles,6/26/2001 0:00,10/20/2017 19:48, 
247,SHF06 PORTABLE,TR169,-122.035131,41.298869,3720,6.1,2,America/Los_Angeles,6/26/2001 0:00,10/16/2017 16:15, 
