,stn_name,stn_id,stn_lon,stn_lat,stn_ele,stn_obs_hgt,stn_mnet_id,stn_tmzn,stn_datetime_start,stn_datetime_end,stn_state,stn_county,stn_cwa,stn_notes
60,Eureka Valley,TT184,-117.788494,37.17625,2975.0,6.1,2,America/Los_Angeles,2013-03-29 00:00:00,2019-10-09 18:34:00,CA,Inyo,VEF, 
600,Fair Play Road,PG604,-120.69144,38.59413,2258.0,10.0,229,America/Los_Angeles,2019-08-26 03:24:00,2019-10-09 19:20:00,CA,El Dorado,STO, 
621,Fair View Road,PG588,-122.00302,37.65541,1495.0,10.0,229,America/Los_Angeles,2019-09-02 18:14:00,2019-10-04 21:10:00,CA,Alameda,MTR, 
180,Falcon Haven,PG103,-120.9496,38.52589,595.0,10.0,229,America/Los_Angeles,2018-08-31 17:24:00,2019-10-09 19:20:00,CA,El Dorado,STO, 
353,Feather Lake Highway,PG308,-121.16211,40.64423,5583.0,10.0,229,America/Los_Angeles,2019-05-01 06:14:00,2019-10-09 19:20:00,CA,Lassen,REV, 
241,Fern Road,PG173,-121.94232,40.64565,1950.0,10.0,229,America/Los_Angeles,2018-11-08 18:14:00,2019-10-09 19:20:00,CA,Shasta,STO, 
210,Ferretti Road,PG121,-120.1456,37.8518,3140.0,10.0,229,America/Los_Angeles,2018-10-02 13:54:00,2019-10-09 19:10:00,CA,Tuolumne,STO, 
514,Fine Gold,PG505,-119.61354,37.19263,1345.0,10.0,229,America/Los_Angeles,2019-07-14 00:14:00,2019-10-09 19:20:00,CA,Madera,HNX, 
142,Fitch Ranch Road,PG031,-120.28293,37.92265,2256.0,10.0,229,America/Los_Angeles,2018-06-16 17:44:00,2019-10-09 19:20:00,CA,Tuolumne,STO, 
619,Five Brooks,PG419,-122.74749,37.99934,486.0,10.0,229,America/Los_Angeles,2019-09-02 18:14:00,2019-10-09 19:20:00,CA,Marin,MTR, 
373,Flea Mountain,PG326,-121.47166,39.82864,4249.0,10.0,229,America/Los_Angeles,2019-05-06 15:04:00,2019-10-09 19:20:00,CA,Butte,STO, 
203,Forest Ranch,PG134,-121.65289,39.8982,2937.0,10.0,229,America/Los_Angeles,2018-09-29 22:54:00,2019-10-09 19:20:00,CA,Butte,STO, 
381,Forest Route 18N07,PG324,-122.64387,39.35491,2447.0,10.0,229,America/Los_Angeles,2019-05-08 18:14:00,2019-10-09 19:20:00,CA,Colusa,STO, 
118,Foresthill Road East,PG023,-120.76338,39.0549,3685.0,10.0,229,America/Los_Angeles,2018-06-12 14:04:00,2019-10-09 19:20:00,CA,Placer,STO, 
114,Foresthill Road West,PG032,-120.86556,38.99971,2860.0,10.0,229,America/Los_Angeles,2018-06-11 20:14:00,2019-10-09 19:20:00,CA,Placer,STO, 
568,Forks Lookout,PG504,-122.52061,40.65428,3139.0,10.0,229,America/Los_Angeles,2019-08-14 03:14:00,2019-10-09 19:20:00,CA,Shasta,STO, 
50,Fortuna Rohnerville Airport,KFOT,-124.13338,40.55296,377.0,10.0,1,America/Los_Angeles,2011-12-28 00:00:00,2019-10-09 08:10:00,CA,Humboldt,EKA, 
509,Fowler Tower,PG445,-120.58995,38.02274,2833.0,10.0,229,America/Los_Angeles,2019-07-12 00:14:00,2019-10-09 19:20:00,CA,Calaveras,STO, 
92,Franz Valley Road,PG005,-122.68386,38.56465,1060.0,10.0,229,America/Los_Angeles,2018-05-11 22:07:00,2019-10-09 19:20:00,CA,Sonoma,MTR, 
277,Frazier Road,PG219,-119.5091,37.0771,2200.0,10.0,229,America/Los_Angeles,2019-03-14 14:14:00,2019-10-09 19:20:00,CA,Fresno,HNX, 
575,French Town Road,PG555,-121.25855,39.38936,1474.0,10.0,229,America/Los_Angeles,2019-08-18 03:14:00,2019-10-09 19:20:00,CA,Yuba,STO, 
519,Funt Ranch,PG471,-121.88082,36.35366,995.0,10.0,229,America/Los_Angeles,2019-07-18 00:44:00,2019-10-09 19:20:00,CA,Monterey,MTR, 
402,Gallagher Road,PG366,-121.05197,38.80385,1436.0,10.0,229,America/Los_Angeles,2019-07-26 23:04:00,2019-10-09 19:20:00,CA,El Dorado,STO, 
404,Garden Bar Road,PG332,-121.16776,39.05415,1169.0,10.0,229,America/Los_Angeles,2019-05-17 15:34:00,2019-10-09 19:20:00,CA,Nevada,STO, 
123,Georgia Slide Road,PG033,-120.83859,38.92267,2611.0,10.0,229,America/Los_Angeles,2018-06-13 18:14:00,2019-10-09 19:20:00,CA,El Dorado,STO, 
371,Glen Canyon Road,PG262,-122.01688,37.0338,571.0,10.0,229,America/Los_Angeles,2019-05-05 06:14:00,2019-10-09 19:20:00,CA,Santa Cruz,MTR, 
452,Golden Chain Highway,PG388,-120.74802,38.3292,1212.0,10.0,229,America/Los_Angeles,2019-06-07 15:24:00,2019-10-09 19:20:00,CA,Amador,STO, 
145,Goldfield Road,PG027,-120.90851,38.73617,1380.0,10.0,229,America/Los_Angeles,2018-07-28 18:14:00,2019-10-09 19:20:00,CA,El Dorado,STO, 
